date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-08-02,4.98,5.03,5.02,4.97,110855.74,0.04,0.8,4.982,4.977,5.001,87953.39,96414.45,107327.05,0.86
2017-08-01,4.98,5.0,4.98,4.96,68898.35,0.0,0.0,4.968,4.963,5.004,78044.38,94783.89,105642.56,0.53
2017-07-31,4.96,4.99,4.98,4.94,71186.52,0.01,0.2,4.968,4.947,5.007,79262.06,96772.6,105694.73,0.55
2017-07-28,4.96,5.04,4.97,4.93,109447.84,0.01,0.2,4.966,4.927,5.012,80804.1,107062.44,105048.9,0.85
2017-07-27,4.96,4.97,4.96,4.9,79378.51,0.01,0.2,4.962,4.935,5.016,78445.09,104093.05,103597.91,0.61
2017-07-26,4.97,4.98,4.95,4.92,61310.7,-0.03,-0.6,4.972,4.946,5.021,104875.5,103417.93,106371.69,0.47
2017-07-25,4.97,5.0,4.98,4.93,74986.75,0.01,0.2,4.958,4.957,5.029,111523.39,110890.13,106220.77,0.58
2017-07-24,4.95,4.98,4.97,4.93,78896.71,0.02,0.4,4.926,4.97,5.039,114283.14,112480.16,106345.65,0.61
2017-07-21,4.97,4.99,4.95,4.93,97652.76,-0.06,-1.2,4.888,4.99,5.048,133320.77,114176.66,106175.76,0.75
2017-07-20,4.88,5.11,5.01,4.87,211530.59,0.13,2.66,4.908,5.01,5.056,129741.02,114555.21,105535.4,1.63
2017-07-19,4.81,4.89,4.88,4.79,94550.13,0.06,1.25,4.92,5.025,5.063,101960.35,118239.66,99346.6,0.73
2017-07-18,4.77,4.82,4.82,4.76,88785.5,0.04,0.84,4.956,5.044,5.079,110256.87,116501.23,98196.85,0.69
2017-07-17,5.0,5.03,4.78,4.75,174084.88,-0.27,-5.35,5.014,5.067,5.099,110677.19,114616.86,97223.28,1.34
2017-07-14,5.08,5.1,5.05,5.03,79754.0,-0.02,-0.39,5.092,5.096,5.123,95032.55,103035.37,92935.53,0.62
2017-07-13,5.05,5.1,5.07,5.04,72627.26,0.01,0.2,5.112,5.096,5.13,99369.41,103102.77,92630.37,0.56
2017-07-12,5.11,5.12,5.06,5.02,136032.7,-0.05,-0.98,5.13,5.095,5.135,134518.97,109325.44,92551.06,1.05
2017-07-11,5.17,5.17,5.11,5.1,90887.1,-0.06,-1.16,5.132,5.101,5.139,122745.59,101551.41,88993.38,0.7
2017-07-10,5.16,5.19,5.17,5.13,95861.67,0.02,0.39,5.12,5.107,5.141,118556.54,100211.13,87103.0,0.74
2017-07-07,5.12,5.16,5.15,5.1,101438.31,-0.01,-0.19,5.1,5.105,5.139,111038.19,98174.85,86544.55,0.78
2017-07-06,5.13,5.26,5.16,5.13,248375.05,0.09,1.77,5.08,5.102,5.143,106836.13,96515.59,86099.73,1.92
2017-07-05,5.04,5.08,5.07,5.03,77165.83,0.02,0.4,5.06,5.101,5.147,84131.92,80453.54,78942.37,0.6
2017-07-04,5.07,5.09,5.05,5.04,69941.82,-0.02,-0.39,5.07,5.113,5.158,80357.22,79892.47,82898.35,0.54
2017-07-03,5.05,5.07,5.07,5.03,58269.93,0.02,0.4,5.094,5.131,5.167,81865.73,79829.69,83513.57,0.47
2017-06-30,5.04,5.06,5.05,5.01,80428.01,-0.01,-0.2,5.11,5.149,5.174,85311.52,82835.69,86351.14,0.65
2017-06-29,5.1,5.13,5.06,5.05,134854.0,-0.06,-1.17,5.124,5.163,5.182,86195.05,82157.97,89823.11,1.21
2017-06-28,5.16,5.16,5.12,5.11,58292.34,-0.05,-0.97,5.142,5.174,5.182,76775.15,75776.68,89102.71,0.52
2017-06-27,5.14,5.19,5.17,5.12,77484.35,0.02,0.39,5.156,5.176,5.184,79427.72,76435.35,93153.79,0.69
2017-06-26,5.12,5.16,5.15,5.09,75498.9,0.03,0.59,5.168,5.175,5.186,77793.66,73994.88,100454.52,0.68
2017-06-23,5.13,5.16,5.12,5.07,84845.66,-0.03,-0.58,5.188,5.172,5.195,80359.86,74914.24,114446.62,0.76
2017-06-22,5.21,5.24,5.15,5.14,87754.51,-0.04,-0.77,5.202,5.183,5.199,78120.88,75683.86,124189.37,0.79
2017-06-21,5.23,5.25,5.19,5.16,71555.18,-0.04,-0.77,5.206,5.193,5.196,74778.2,77431.21,133253.92,0.64
2017-06-20,5.26,5.28,5.23,5.21,69314.03,-0.02,-0.38,5.196,5.203,5.205,73442.98,85904.24,152320.01,0.62
2017-06-19,5.18,5.28,5.25,5.18,88329.93,0.06,1.16,5.182,5.203,5.218,70196.1,87197.46,164677.76,0.79
2017-06-16,5.14,5.24,5.19,5.14,73650.76,0.02,0.39,5.156,5.198,5.206,69468.62,89866.59,163629.66,0.66
2017-06-15,5.13,5.18,5.17,5.12,71041.11,0.03,0.58,5.164,5.2,5.199,73246.85,97488.25,164319.75,0.64
2017-06-14,5.14,5.18,5.14,5.12,64879.08,-0.02,-0.39,5.18,5.19,5.195,80084.22,102428.74,165452.39,0.58
2017-06-13,5.11,5.18,5.16,5.1,53079.62,0.04,0.78,5.21,5.191,5.189,98365.5,109872.23,164713.35,0.48
2017-06-12,5.2,5.22,5.12,5.12,84692.52,-0.11,-2.1,5.224,5.197,5.181,104198.81,126914.16,165255.93,0.76
2017-06-09,5.25,5.27,5.23,5.19,92541.9,-0.02,-0.38,5.24,5.218,5.176,110264.57,153979.0,166735.89,0.83
2017-06-08,5.27,5.29,5.25,5.23,105228.0,-0.04,-0.76,5.236,5.215,5.162,121729.65,172694.88,166306.22,0.94
2017-06-07,5.22,5.29,5.29,5.21,156285.44,0.06,1.15,5.2,5.198,5.15,124773.25,189076.62,168086.24,1.4
2017-06-06,5.17,5.23,5.23,5.14,82246.19,0.03,0.58,5.172,5.206,5.131,121378.97,218735.78,163567.46,0.74
2017-06-05,5.28,5.31,5.2,5.17,115021.33,-0.01,-0.19,5.17,5.233,5.117,149629.51,242158.06,164168.32,1.03
2017-06-02,5.02,5.22,5.21,5.01,149867.31,0.14,2.76,5.196,5.213,5.11,197693.42,237392.72,161590.2,1.34
2017-06-01,5.19,5.25,5.07,5.06,120446.0,-0.08,-1.55,5.194,5.198,5.105,223660.11,231151.24,157334.18,1.08
2017-05-31,5.27,5.29,5.15,5.15,139314.0,-0.07,-1.34,5.196,5.199,5.108,253379.98,228476.04,153963.03,1.25
2017-05-26,5.26,5.34,5.22,5.21,223498.91,-0.11,-2.06,5.24,5.187,5.108,316092.58,219554.47,150504.7,2.0
2017-05-25,5.11,5.4,5.33,5.07,355340.88,0.13,2.5,5.296,5.165,5.104,334686.61,203597.7,149197.82,3.19
2017-05-24,5.0,5.3,5.2,4.97,279700.75,0.12,2.36,5.23,5.134,5.101,277092.03,179492.78,134457.64,2.51
2017-05-23,5.28,5.35,5.08,5.05,269045.38,-0.29,-5.4,5.202,5.108,5.107,238642.38,159917.56,123360.31,2.41
2017-05-22,5.5,5.59,5.37,5.32,452877.0,-0.13,-2.36,5.202,5.102,5.118,203572.1,147095.87,116110.86,4.06
2017-05-19,5.0,5.5,5.5,4.98,316469.03,0.5,10.0,5.134,5.055,5.125,123016.35,108399.14,96877.96,2.84
2017-05-18,5.01,5.05,5.0,4.99,67367.98,-0.06,-1.19,5.034,5.0,5.126,72508.79,86178.58,87064.51,0.6
2017-05-17,5.07,5.1,5.06,5.04,87452.5,-0.02,-0.39,5.038,5.007,5.156,81893.52,85787.67,90747.09,0.78
2017-05-16,5.03,5.08,5.08,4.98,93694.0,0.05,0.99,5.014,5.012,5.189,81192.75,83517.12,91132.07,0.84
